,HIP,TYC,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,M_V,Type,Lstar,pmRA,pmDec,BmV,angdiam
0,2,,0.004265,-19.4988,,10.269,9.27,,8.23,7.402,6.975,6.807,39.8076,6.27017,K3V,0.365134,163.52,-2.362,0.9990000000000006,0.19512132685328795
1,18,,0.052829,-4.05368,,12.597,11.03,10.611,9.54,8.599,8.0,7.851,43.9688,7.81428,K5,0.420381,-119.595,24.291,1.5670000000000002,0.30111194729962826
2,38,,0.113126,-79.062,,9.428,8.65,,7.84,7.301,6.884,6.858,40.1234,5.63301,G6V,0.540806,162.431,-62.065,0.7780000000000005,0.18788874762601288
3,47,,0.134996,-56.8356,,11.93,10.78,,9.53,8.575,7.968,7.867,45.1266,7.50784,K3V,0.153252,-44.969,-145.359,1.1500000000000004,0.12757173502050603
4,54,,0.152594,17.9689,,11.6,10.57,10.208,9.49,8.623,8.077,7.949,49.8753,7.08057,M:,0.17945,366.227,-18.673,1.0299999999999994,0.11294162569704518
5,57,,0.167999,-69.676,,9.133,8.27,,7.39,6.773,6.341,6.227,29.3383,5.93282,K2V,0.435147,-40.569,-67.54,0.8629999999999995,0.25122928464554756
6,58,,0.173519,62.1759,,7.57,7.05,,6.46,6.072,5.881,5.808,38.3806,4.12944,G0,1.88853,-46.809,-43.283,0.5200000000000005,0.2871605420986571
7,68,,0.200383,16.9882,,9.73,8.79,8.9,7.8,6.954,6.432,6.34,30.1559,6.39314,K0,0.302105,-52.696,-307.114,0.9400000000000013,0.2215595641985411
8,74,,0.222345,35.7526,,10.998,9.93,9.4,8.9,8.037,7.463,7.402,42.1076,6.8082,K5,0.241133,158.791,-41.084,1.0679999999999996,0.16202321519232776
9,81,,0.243414,-4.93253,,9.212,8.57,,7.86,7.341,7.026,6.956,45.3069,5.28918,G5,0.676757,-187.028,-173.015,0.6419999999999995,0.1646646301532898
10,84,,0.252427,27.8863,,10.462,9.61,9.1,8.71,8.104,7.715,7.6,47.7783,6.21385,K0,0.333002,227.39,-5.08,0.8520000000000003,0.13345546765065114
11,96,,0.304945,13.9751,,11.82,10.46,,8.87,,,,43.0191,7.29169,M0,0.255407,26.07,160.186,1.3599999999999994,0.23215737309602355
12,110,,0.348614,39.6107,,9.397,8.61,,7.79,7.132,6.761,6.682,49.6278,5.13137,G5,0.862121,-33.56,-44.22,0.7870000000000008,0.1936521986267639
13,111,,0.349847,34.2818,,12.588,11.28,10.815,9.77,8.598,7.963,7.795,38.1509,8.37248,M2,0.0856089,254.856,-5.113,1.3079999999999998,0.14117329607573684
14,112,,0.357676,-16.9484,13.478,12.144,10.76,10.37,9.04,8.017,7.408,7.217,31.2839,8.28339,M1.5V:,0.108457,293.789,-253.769,1.3840000000000003,0.21405729920698324
15,143,,0.455647,21.4625,,11.383,10.35,9.6,9.27,8.376,7.866,7.783,46.2839,7.02285,K3,0.189912,175.345,147.296,1.0329999999999995,0.12562553288421713
16,149,,0.477848,26.004,,12.192,11.26,10.8,10.28,9.372,8.859,8.743,45.5166,7.96915,K3,0.0701356,-306.76,-630.26,0.9320000000000004,0.07017141960644545
17,169,,0.536383,-68.2808,11.838,10.63,9.24,8.372,7.59,,,,15.1957,8.3314,M0V,0.105742,216.425,-226.585,1.3900000000000006,0.43730780879684394
18,171,,0.542313,27.0823,6.47,6.49,5.8,5.16,4.98,4.42,4.0,3.89,12.1699,5.37357,G3V,0.640254,780.22,-917.75,0.6900000000000004,0.6247975432510329
19,184,,0.589769,11.0062,9.96,9.368,8.48,,7.59,,,,33.8711,5.83085,K0,0.484211,-4.948,-42.711,0.8879999999999999,0.23641069712039242
20,191,,0.612961,-46.0289,,13.92,12.43,12.057,10.42,9.179,8.518,8.34,37.1374,9.58094,M3,0.0499487,200.937,-11.63,1.4900000000000002,0.12911236545588403
21,194,,0.623759,8.48546,,6.015,5.7,,5.34,5.077,5.008,4.91,37.334,2.83947,F0V,5.89833,-93.393,-46.8,0.3149999999999995,0.4123339600400221
22,223,,0.696563,2.13016,,7.787,7.17,,6.48,6.059,5.779,5.674,43.1053,3.99735,G0,2.21473,61.711,-93.171,0.617,0.3045856717724764
23,263,,0.829178,4.68693,,13.513,12.04,11.597,10.29,8.833,8.183,7.976,28.66,9.75362,M1,0.0390912,-25.761,-84.286,1.4730000000000008,0.14793943451700614
24,296,,0.922853,-28.3962,,9.02,8.24,,7.42,6.97,6.621,6.554,40.2123,5.2182,G8V,0.793292,281.377,-142.027,0.7799999999999994,0.22752826865833856
25,305,,0.972308,-28.3938,,8.401,7.66,,6.87,6.428,6.116,6.022,46.9043,4.30394,G5IV,1.77624,88.64,-16.36,0.7409999999999997,0.2826547867744944
26,350,,1.09914,-57.3227,,11.47,10.37,,9.31,8.405,7.866,7.745,48.4583,6.94316,K5V,0.221175,-39.659,73.344,1.1000000000000014,0.14018849519989893
27,351,,1.10367,-47.068,,10.655,9.8,,8.9,8.215,7.774,7.654,47.9207,6.39738,K0V,0.28193,292.563,35.608,0.8549999999999986,0.12279064450683448
